station_cd,station_name,lon,lat
1120435,中田,140.364505,40.787424
1120436,木造,140.387775,40.802482
1120437,五所川原,140.44776,40.809124
1120438,陸奥鶴田,140.435276,40.757544
1120439,鶴泊,140.437616,40.736026
1120440,板柳,140.461785,40.69726
1120441,林崎,140.480401,40.675355
1120442,藤崎,140.499531,40.654047
1120443,川部,140.521376,40.646862
1120501,青森,140.734738,40.828668
1120502,油川,140.690476,40.857035
1120503,津軽宮田,140.674579,40.887184
1120504,奥内,140.672382,40.903044
1120505,左堰,140.665929,40.917214
1120506,後潟,140.662734,40.931519
1120507,中沢,140.656244,40.949044
1120508,蓬田,140.654533,40.969042
1120509,郷沢,140.652399,40.987682
1120510,瀬辺地,140.648179,41.007869
1120511,蟹田,140.642565,41.038274
1120512,中小国,140.596798,41.051702
1120513,大平,140.559375,41.065866
1120514,津軽二股,140.514231,41.145937
1120515,大川平,140.507592,41.163204
1120516,今別,140.490448,41.179741
1120517,津軽浜名,140.47185,41.180521
1120518,三厩,140.444482,41.185404
1120601,八戸,141.431499,40.5092
1120602,長苗代,141.465907,40.52146
1120603,本八戸,141.488762,40.516286
1120604,小中野,141.510032,40.518767
1120605,陸奥湊,141.527652,40.52335
1120606,白銀,141.541648,40.522031
1120607,鮫,141.554891,40.530244
1120609,陸奥白浜,141.592299,40.516636
1120610,種差海岸,141.607367,40.506951
1120611,大久喜,141.622958,40.495135
1120612,金浜,141.637366,40.475994
1120613,大蛇,141.650773,40.467251
1120614,階上,141.664958,40.456834
1120615,角の浜,141.681773,40.444478
1120616,平内,141.699272,40.42552
1120617,種市,141.715232,40.410384
1120618,玉川,141.735117,40.380424
1120619,宿戸,141.746683,40.366129
1120620,陸中八木,141.766517,40.345485
1120621,有家,141.773031,40.324007
1120622,陸中中野,141.787768,40.305165
1120623,侍浜,141.760575,40.261375
1120624,陸中夏井,141.791906,40.207747
1120625,久慈,141.770891,40.190391
1120701,茂市,141.799288,39.620619
1120702,岩手刈屋,141.759296,39.642688
1120703,中里,141.736067,39.661836
1120704,岩手和井内,141.715705,39.679905
1120705,押角,141.693181,39.724029
1120706,岩手大川,141.671909,39.800208
1120707,浅内,141.727016,39.819482
1120708,二升石,141.745741,39.836739
1120709,岩泉,141.786446,39.845044
1120801,一ノ関,141.138177,38.926514
1120802,真滝,141.17793,38.908239
1120803,陸中門崎,141.251226,38.916908
1120804,岩ノ下,141.245342,38.947699
1120805,陸中松川,141.238046,38.977237
1120806,猊鼻渓,141.25327,38.988939
1120807,柴宿,141.272312,38.996719
1120808,摺沢,141.32146,38.99593
1120809,千厩,141.34563,38.924873
1120810,小梨,141.38418,38.932493
1120811,矢越,141.429029,38.935224
1120812,折壁,141.452346,38.939428
1120813,新月,141.488796,38.915598
1120814,気仙沼,141.558893,38.910031
1120815,鹿折唐桑,141.579457,38.915555
1120816,上鹿折,141.568232,38.960661
1120817,陸前矢作,141.579357,39.022554
1120818,竹駒,141.609729,39.033651
1120819,陸前高田,141.625332,39.013021
1120820,脇ノ沢,141.657359,39.006584
1120821,小友,141.699573,38.989242
1120822,細浦,141.713642,39.015973
